name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Family Tree,'Sandro Perri',,spotify:track:2VlYJkBw2nM0Wf5fjK0jyb,216707,0.637,0.373,10,-13.198,0,0.0368,0.927,0.00206,0.107,0.378,105.158
Eyes on the Prize,'Menahan Street Band',,spotify:track:1TtJCks2fZaYO8c8x5KoAD,139707,0.693,0.648,9,-8.058,0,0.0452,0.0203,0.884,0.0797,0.935,81.786
Ali Baba,'Louie Ramirez',,spotify:track:2SdffAMRESlpB96aCnEohX,255307,0.787,0.563,0,-7.943,1,0.0329,0.72,0.00262,0.0809,0.852,110.152
Evil Ways,'Pete Rodriguez/Louie Ramirez',,spotify:track:5vYlJnQDTCkfF3BlNtBWsm,231493,0.836,0.608,2,-4.969,0,0.0374,0.456,0.00484,0.293,0.686,114.916
The Right To Love You,'The Mighty Hannibal',,spotify:track:7sE2eFdfs36HGPrZe1BHmm,159067,0.685,0.442,4,-8.814,0,0.0289,0.792,0.00842,0.225,0.688,96.729
Bees,'Caribou',,spotify:track:3ZKI571IyBKZPHq1UiQ2Sw,323667,0.713,0.59,9,-12.821,1,0.0304,0.8,0.899,0.111,0.783,130.71
The Last Time,'Andrew Oldham Orchestra',,spotify:track:1GXHtk9eSDMIivxLzKcBbC,227173,0.211,0.853,9,-8.518,1,0.0748,0.00627,0.824,0.0926,0.538,168.243
Crabbuckit,'K-OS',,spotify:track:5ONb0fTAqTygOmGfLHqi28,246640,0.655,0.687,8,-6.62,1,0.247,0.0177,0.00969,0.437,0.726,94.763
The Rain,'K-OS',,spotify:track:0NXaHNdHP9uA9IXM54y4rC,231760,0.745,0.54,9,-6.989,0,0.0403,0.661,4.81e-06,0.0981,0.696,96.979
Walking On Fire - Radio Edit,'Rilan & The Bombardiers',,spotify:track:0Vm8HM5z1fbeSidTmDty0G,200109,0.76,0.703,4,-5.318,0,0.0454,0.0861,0.000546,0.135,0.434,113.328
Move on Up,'Curtis Mayfield',,spotify:track:0MHXrqn909p0LRTPsNsGEi,165790,0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652
Sunday Morning,'Amanaz',,spotify:track:7rFu5IhLj50r2tNM2d2cat,299484,0.629,0.273,6,-15.813,1,0.0384,0.0281,0.746,0.105,0.464,133.429
Khala My Friend,'Amanaz',,spotify:track:5xevas4P14kVmD4St0X3yy,203716,0.588,0.407,1,-14.169,1,0.0362,0.0212,0.427,0.12,0.362,87.565
Easy Street,'Amanaz',,spotify:track:0HO2txMsboN8qpFYI0Gva5,213163,0.746,0.33,1,-9.91,0,0.043,0.0192,9.42e-05,0.107,0.389,89.09
Something Special,'Eric Clapton',,spotify:track:6DFV5xoI5aeH6Rjl9ysexb,156410,0.795,0.391,0,-14.806,1,0.0303,0.729,0.00469,0.275,0.727,108.092
I Love You,'J.C. Akins',,spotify:track:3aho0hlRm5VTgZdvEU7j3g,179053,0.357,0.436,0,-10.277,1,0.0678,0.186,0.000174,0.0912,0.656,179.108
California Soul,'Marvin Gaye', 'Tammi Terrell',spotify:track:2v2StdeSN8fp7NcuttLPg2,172187,0.417,0.686,11,-6.665,1,0.0376,0.0927,1.7e-05,0.0562,0.832,201.043
Pay Day,'Mississippi John Hurt',,spotify:track:29Q6NQ4WsPYTsZ8nhdAhfo,261000,0.391,0.0745,4,-24.89,1,0.0354,0.938,0.532,0.109,0.325,191.921
Hop Joint,'Mississippi John Hurt',,spotify:track:2zkUm9d4wUlHTWsSiI9S8I,128893,0.561,0.186,7,-19.453,1,0.0344,0.896,0.00487,0.108,0.732,94.419
He Made a Woman out of Me,'Bobbie Gentry',,spotify:track:0BG9mAAoBbbXTm3xWNPlUI,154013,0.601,0.536,0,-9.74,0,0.0436,0.184,0.0,0.0622,0.855,156.396
Saved,'Beady Belle',,spotify:track:4gwSUSTvb47r0OGQqLTH2a,320360,0.843,0.399,2,-7.67,1,0.12,0.284,6.52e-06,0.141,0.564,87.044
Lift My Burdens,'Naomi Shelton & the Gospel Queens',,spotify:track:7qHGVArsSm1GbOdcKbXX6S,185173,0.61,0.667,0,-6.408,1,0.0449,0.587,0.0,0.119,0.807,82.533
